UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition
O00300	Homo sapiens	Metazoa	401
O00478	Homo sapiens	Metazoa	584
O00748	Homo sapiens	Metazoa	559
O14763	Homo sapiens	Metazoa	440
O43155	Homo sapiens	Metazoa	660
O43827	Homo sapiens	Metazoa	346
O43866	Homo sapiens	Metazoa	347
O60449	Homo sapiens	Metazoa	1722
O75629	Homo sapiens	Metazoa	220
O94985	Homo sapiens	Metazoa	981
O95750	Homo sapiens	Metazoa	216
O95881	Homo sapiens	Metazoa	172
P01011	Homo sapiens	Metazoa	423
P01185	Homo sapiens	Metazoa	164
P01270	Homo sapiens	Metazoa	115
P01308	Homo sapiens	Metazoa	110
P01571	Homo sapiens	Metazoa	189
P01579	Homo sapiens	Metazoa	166
P01597	Homo sapiens	Metazoa	117
P01615	Homo sapiens	Metazoa	120
P01764	Homo sapiens	Metazoa	117
P01825	Homo sapiens	Metazoa	116
P01909	Homo sapiens	Metazoa	254
P02649	Homo sapiens	Metazoa	317
P02679	Homo sapiens	Metazoa	453
P02743	Homo sapiens	Metazoa	223
P02745	Homo sapiens	Metazoa	245
P02747	Homo sapiens	Metazoa	245
P02748	Homo sapiens	Metazoa	559
P02771	Homo sapiens	Metazoa	609
P02774	Homo sapiens	Metazoa	474
P02776	Homo sapiens	Metazoa	101
P04062	Homo sapiens	Metazoa	536
P04090	Homo sapiens	Metazoa	185
P04155	Homo sapiens	Metazoa	84
P04180	Homo sapiens	Metazoa	440
P04275	Homo sapiens	Metazoa	2813
P04844	Homo sapiens	Metazoa	631
P05451	Homo sapiens	Metazoa	166
P05452	Homo sapiens	Metazoa	202
P05814	Homo sapiens	Metazoa	226
P06028	Homo sapiens	Metazoa	91
P06756	Homo sapiens	Metazoa	1048
P06865	Homo sapiens	Metazoa	529
P07359	Homo sapiens	Metazoa	652
P07998	Homo sapiens	Metazoa	156
P08253	Homo sapiens	Metazoa	660
P08648	Homo sapiens	Metazoa	1049
P08887	Homo sapiens	Metazoa	468
P09466	Homo sapiens	Metazoa	180
P09603	Homo sapiens	Metazoa	554
P10153	Homo sapiens	Metazoa	161
P10619	Homo sapiens	Metazoa	480
P10645	Homo sapiens	Metazoa	457
P10646	Homo sapiens	Metazoa	304
P10909	Homo sapiens	Metazoa	449
P13473	Homo sapiens	Metazoa	410
P13671	Homo sapiens	Metazoa	934
P13686	Homo sapiens	Metazoa	325
P15529	Homo sapiens	Metazoa	392
P15941	Homo sapiens	Metazoa	1255
P16112	Homo sapiens	Metazoa	2530
P16150	Homo sapiens	Metazoa	400
P17050	Homo sapiens	Metazoa	411
P18510	Homo sapiens	Metazoa	177
P19438	Homo sapiens	Metazoa	455
P19835	Homo sapiens	Metazoa	753
P21128	Homo sapiens	Metazoa	410
P21589	Homo sapiens	Metazoa	574
P22455	Homo sapiens	Metazoa	802
P23083	Homo sapiens	Metazoa	117
P28039	Homo sapiens	Metazoa	575
P28335	Homo sapiens	Metazoa	458
P32881	Homo sapiens	Metazoa	189
P35555	Homo sapiens	Metazoa	2871
P35858	Homo sapiens	Metazoa	605
P36222	Homo sapiens	Metazoa	383
P36897	Homo sapiens	Metazoa	503
P38571	Homo sapiens	Metazoa	399
P40259	Homo sapiens	Metazoa	229
P45452	Homo sapiens	Metazoa	471
P47710	Homo sapiens	Metazoa	185
P49767	Homo sapiens	Metazoa	419
P50895	Homo sapiens	Metazoa	628
P52798	Homo sapiens	Metazoa	201
P55000	Homo sapiens	Metazoa	103
P80098	Homo sapiens	Metazoa	99
P80188	Homo sapiens	Metazoa	198
P81534	Homo sapiens	Metazoa	67
P98066	Homo sapiens	Metazoa	277
